area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area009,福井市,2025-11-03,1,1,4,0,0,0,0,0,1
area009,福井市,2025-11-04,1,1,6,0,0,0,0,0,1
area009,福井市,2025-11-05,3,3,3,0,0,0,0,0,1
area009,福井市,2025-11-06,0,2,0,0,0,0,0,0,1
area009,福井市,2025-11-07,3,4,0,0,1,0,0,0,1
area009,福井市,2025-11-08,0,0,0,0,0,0,0,0,1
area009,福井市,2025-11-09,1,2,0,0,0,0,0,0,1
area009,福井市,2025-11-10,1,2,0,0,0,0,0,0,1
area009,福井市,2025-11-11,0,4,0,0,0,0,0,0,1
area009,福井市,2025-11-12,0,1,1,0,0,0,0,0,1
area009,福井市,2025-11-13,1,0,1,0,0,0,0,0,1
area009,福井市,2025-11-14,0,2,0,0,0,0,0,0,1
area009,福井市,2025-11-15,0,0,1,0,0,0,0,0,1
area009,福井市,2025-11-16,1,4,1,0,0,0,0,0,1
area009,福井市,2025-11-17,2,10,0,0,0,0,0,0,1
area009,福井市,2025-11-18,0,4,1,0,0,0,0,0,1
area009,福井市,2025-11-19,2,6,0,0,0,0,0,0,1
area009,福井市,2025-11-20,1,2,6,0,0,0,0,0,1
area009,福井市,2025-11-21,0,1,2,0,2,0,0,0,1
area009,福井市,2025-11-22,0,2,1,0,0,0,0,0,1
area009,福井市,2025-11-23,1,0,0,0,0,0,0,0,1
area009,福井市,2025-11-24,0,6,0,0,0,0,0,0,1
area009,福井市,2025-11-25,3,0,0,0,0,0,0,0,1
area009,福井市,2025-11-26,1,0,0,0,0,0,0,0,1
area009,福井市,2025-11-27,2,1,1,0,0,0,0,0,1
area009,福井市,2025-11-28,1,4,0,0,0,0,0,0,1
area009,福井市,2025-11-29,4,2,1,0,0,0,0,0,1
area009,福井市,2025-11-30,3,2,3,0,0,0,0,0,1
area009,福井市,2025-12-01,2,5,2,0,0,0,0,0,1
area009,福井市,2025-12-02,2,3,0,0,0,0,0,0,1
area009,福井市,2025-12-03,1,8,0,0,0,0,0,0,1
area009,福井市,2025-12-04,2,5,0,0,0,0,0,0,1
area009,福井市,2025-12-05,1,2,6,0,0,0,0,0,1
area009,福井市,2025-12-06,0,4,0,0,0,0,0,0,1
area009,福井市,2025-12-07,1,2,1,0,0,0,0,0,1
area009,福井市,2025-12-08,3,2,0,0,0,0,0,0,1
area009,福井市,2025-12-09,0,5,3,0,1,0,0,0,1
area009,福井市,2025-12-10,0,1,0,0,0,0,0,0,1
area009,福井市,2025-12-11,1,1,7,0,0,0,0,0,1
area009,福井市,2025-12-12,0,2,1,0,0,0,0,0,1
area009,福井市,2025-12-13,0,0,3,0,0,0,0,0,1
area009,福井市,2025-12-14,2,2,0,0,0,0,0,0,1
area009,福井市,2025-12-15,2,2,5,0,0,0,0,0,1
area009,福井市,2025-12-16,1,3,1,0,0,0,0,0,1
area009,福井市,2025-12-17,0,1,0,0,0,0,0,0,1
area009,福井市,2025-12-18,0,3,1,0,0,0,0,0,1
area009,福井市,2025-12-19,0,1,7,0,0,0,0,0,1
area009,福井市,2025-12-20,3,1,0,0,0,0,0,0,1
area009,福井市,2025-12-21,0,2,0,0,1,0,0,0,1
area009,福井市,2025-12-22,1,0,0,0,0,0,0,0,1
area009,福井市,2025-12-23,0,5,0,0,0,0,0,0,1
area009,福井市,2025-12-24,5,2,1,0,0,0,0,0,1
area009,福井市,2025-12-25,1,1,0,0,0,0,0,0,1
area009,福井市,2025-12-26,0,1,3,0,0,0,0,0,1
area009,福井市,2025-12-27,3,0,0,0,0,0,0,0,1
area009,福井市,2025-12-28,0,1,0,0,0,0,0,0,1
area009,福井市,2025-12-29,2,0,4,0,0,0,0,0,1
area009,福井市,2025-12-30,0,1,0,0,0,0,0,0,1
area009,福井市,2025-12-31,0,1,7,0,0,0,0,0,1
area009,福井市,2026-01-01,1,2,0,0,0,0,0,0,1
area009,福井市,2026-01-02,0,7,1,0,0,0,0,0,1
area009,福井市,2026-01-03,1,1,0,0,0,0,0,0,1
area009,福井市,2026-01-04,1,2,3,0,0,0,0,0,1
area009,福井市,2026-01-05,5,1,3,0,0,0,0,0,1
area009,福井市,2026-01-06,3,8,0,0,0,0,0,0,1
area009,福井市,2026-01-07,4,0,2,0,0,0,0,0,1
area009,福井市,2026-01-08,2,9,4,0,1,0,0,0,1
area009,福井市,2026-01-09,1,8,5,0,0,0,0,0,1
